Gene,Delta_Correlation,P_Value,FDR,Cancer
TECPR2,0.01820636980532131,0.9229047222671969,0.9595060609328043,HNSCC
TECR,0.22493614174387033,0.119957280827692,0.24250218618533462,HNSCC
TEFM,0.4053851734323556,0.01910892618207052,0.06234534898880954,HNSCC
TELO2,0.16790316162531102,0.2911086343546625,0.4553884187081599,HNSCC
TENM1,0.26831734508685506,0.2596276711357013,0.42013611657013783,HNSCC
TENM2,0.666198735202667,6.166426324898548e-19,6.608240606638533e-17,HNSCC
TENM3,0.06959903495491343,0.7131692354640593,0.8237306662385686,HNSCC
TENM4,0.13687265799334758,0.5017594112161174,0.6572408029791239,HNSCC
TEP1,0.18156290381716328,0.10886129585194992,0.22616432832301142,HNSCC
TERF1,0.003166147637297334,0.9931613932715615,0.9966361295723676,HNSCC
TERF2,0.2937515773164528,0.010748072331288832,0.039944817597076486,HNSCC
TERF2IP,0.11586009806848596,0.37811682516160217,0.5437834064261826,HNSCC
TES,0.09341425355842126,0.07935544350681048,0.1791505330852524,HNSCC
TESC,-0.24268650145826987,0.009234871860396713,0.03544213710452135,HNSCC
TET2,-0.3134415584415584,0.19558862470235838,0.3461670178035207,HNSCC
TEX10,0.3198388181546766,0.0014215751583949098,0.008174057160770732,HNSCC
TEX2,0.5735217226894815,7.016081919598674e-05,0.0006842083087992627,HNSCC
TEX264,0.10815328962773263,0.4896670585172932,0.6474892413099177,HNSCC
TEX30,0.5380090497737556,0.00196575506940216,0.01053299089934608,HNSCC
TFAM,0.8396958027626442,7.238783641841809e-06,9.886921299053406e-05,HNSCC
TFAP2A,0.30391473267620056,0.0063792056365615515,0.026814660934374245,HNSCC
TFAP2C,0.19198901680705743,0.18174427576329888,0.32906984352834956,HNSCC
TFAP4,0.47979307080224515,0.0035803163992850213,0.017056788239290438,HNSCC
TFB1M,0.773014552483753,2.3655183744273523e-07,4.717491858367186e-06,HNSCC
TFB2M,0.5646200110682418,1.709479168493911e-06,2.7877660286208394e-05,HNSCC
TFCP2,0.5290719674926752,0.00033493798745237204,0.002514484413884166,HNSCC
TFDP1,0.3582602339686305,0.028701898542366606,0.08345286660261154,HNSCC
TFDP2,0.26403162055335966,0.3739340769679199,0.5397162050780828,HNSCC
TFE3,0.00603474029424228,0.9906094985367069,0.9955094630801695,HNSCC
TFEB,0.21511598652489872,0.1193353269244003,0.24159672831738313,HNSCC
TFF3,-0.22407259691557657,0.023514445514367183,0.072820855082918,HNSCC
TFG,0.32063584196611716,0.04873127484164931,0.1243473695435907,HNSCC
TFIP11,0.18972211628830238,0.1315655143199599,0.2594594328914558,HNSCC
TFPI,0.5489348187283541,5.265983518131698e-10,1.9215935611709325e-08,HNSCC
TFPT,0.12030553330862931,0.6468822366710223,0.7762268453323256,HNSCC
TFRC,0.4515844652672962,1.6978162364014003e-23,2.7142793339977797e-21,HNSCC
TG,-0.02130721864354726,0.9072322240641083,0.9496624075427325,HNSCC
TGFB1,-0.3226185638243306,0.007799338456296726,0.031261466759476234,HNSCC
TGFB1I1,0.3836739938181616,0.020527478267831245,0.06580669561732094,HNSCC
TGFB2,0.4689940067725127,0.00011115450001639805,0.0010027554895096335,HNSCC
TGFB3,0.3754717573524913,5.469850668385197e-10,1.975629026596016e-08,HNSCC
TGFBI,0.6124030413283361,0.0003470218356478076,0.0025991988795986327,HNSCC
TGFBR1,0.29454464712714357,0.3539631937491753,0.5214273512752202,HNSCC
TGFBR2,0.16228282748026907,0.4855638419049796,0.6436513701115011,HNSCC
TGFBR3,-0.06540584804790034,0.48815639883463624,0.6460172616956673,HNSCC
TGFBRAP1,0.12304446571812233,0.43069003161022756,0.5937361023837913,HNSCC
TGM1,0.21480862200390383,2.7982730979993143e-06,4.3367363541979486e-05,HNSCC
TGM2,0.012169840007323574,0.9474653632335831,0.9720865041824199,HNSCC
TGM5,-0.03118932006446129,0.635072313070721,0.7680907519578608,HNSCC
TGOLN2,-0.26031261342532636,0.10368904776891553,0.21831948061743178,HNSCC
TGS1,0.3700228633256156,0.0011963463579924968,0.007188397833113264,HNSCC
THADA,0.17520117426408383,0.2765533393789752,0.4390993431494246,HNSCC
THAP11,0.0449370959528233,0.8030965596948476,0.8882610468576788,HNSCC
THAP3,-0.18823529411764706,0.543144996313799,0.693019757170243,HNSCC
THAP4,-0.1598309516985795,0.3400881581120908,0.5078149927896355,HNSCC
THBD,0.7968630068171352,8.422977254063515e-11,3.459544031349919e-09,HNSCC
THBS1,0.2265498321592686,0.026776209973313356,0.07973178615564941,HNSCC
THBS2,0.42337309727217987,8.358675907011625e-23,1.254058576079652e-20,HNSCC
THBS3,0.11471108714883288,0.40795857294554017,0.5731554571582413,HNSCC
THBS4,0.07101184246662617,0.24624364552148237,0.40570502299805644,HNSCC
THEM4,0.10915983948749342,0.47961676111744933,0.6390047353296517,HNSCC
THEM5,-0.10179459343546038,0.14267203885931987,0.27562157744771937,HNSCC
THEM6,0.6032102386296357,1.1422164914926906e-05,0.0001448490926532733,HNSCC
THEMIS,-0.08693499521414727,0.5130504522057561,0.6674583791236037,HNSCC
THEMIS2,0.028694678917483674,0.6190201718107153,0.754585589437262,HNSCC
THG1L,0.01026536868607647,0.975601648409184,0.9874486014827568,HNSCC
THNSL1,0.45263952033938937,0.0023020472115651254,0.011941257663395268,HNSCC
THOC1,0.34157096808472953,0.0005450719926765761,0.0037592235308217606,HNSCC
THOC2,0.0871964065476516,0.18667541394197606,0.3352594174515931,HNSCC
THOC3,-0.09157973849323786,0.3714940520453499,0.5376684469495774,HNSCC
THOC5,0.3701413063929446,7.354807000741148e-06,0.00010003358141035939,HNSCC
THOC6,0.330998487892328,0.006581258527988802,0.027521626571589537,HNSCC
THOC7,-0.1379572009585116,0.3898727752166302,0.5551185734905731,HNSCC
THOP1,0.8037048846092096,1.0939208317140759e-08,2.9966056041785585e-07,HNSCC
THRAP3,-0.009750817352390084,0.9012634377908143,0.9455751528064574,HNSCC
THSD4,0.03519698342109867,0.7335244499167433,0.839494241942035,HNSCC
THSD7A,0.17160280223556393,0.35311520010631503,0.5206149260411201,HNSCC
THTPA,0.7415410801518272,4.2362119582866533e-07,8.100301768080675e-06,HNSCC
THUMPD1,-0.2965709979864633,0.029347848208329665,0.08492588003787266,HNSCC
