Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
DIAPH2,0.0511212335142662,-0.9938378886370804,0.4254062268635345,-4.113932938471254,0.8856177235980812,0.7984870352008765,0.23124446278379435,0.29038018843419944,0.97489626931201,0.9505199718795643,0.9694366382798985,Endometrial
DIAPH3,0.4119694072233832,-3.2501254620663884,-0.05715320353704389,0.043679826027025505,0.0004982770296341634,0.00012407002847095877,0.5615949064110737,0.9404446304143453,0.01707848550438649,0.004409482119248068,0.999907087318879,Endometrial
DICER1,1.0025386724874643,-12.527083518029512,-0.4622902097902879,5.62909073426677,0.010772132824398926,0.014856440811256531,0.22130125748419585,0.25545989319044177,0.13959659665822213,0.1518395466389185,0.9530131464480412,Endometrial
DIDO1,-0.050375813191419865,0.6933487762473083,0.37771956431826353,-4.7049706052674125,0.909327922316004,0.8997633353487438,0.3849818650020983,0.38469079606285395,0.9794256102154784,0.9768908052688474,0.999907087318879,Endometrial
DIMT1,-0.12414170150761904,1.1644409940896134,0.4039283612827709,-4.079036657840953,0.726865710359577,0.745367777105632,0.24653701656216898,0.24564355193878937,0.9309278071176096,0.9306991425755422,0.947070463332908,Endometrial
DIP2A,0.33381382567539253,-4.09659754768967,-0.04297268967257229,0.7145488258135665,0.45692203205492643,0.42200517109398117,0.9228503226674571,0.8873620286029543,0.819433339840154,0.7841963910113687,0.999907087318879,Endometrial
DIP2B,0.61532234516152,-7.356580695321627,-0.14371759432202724,1.690016488606954,0.2067342194154786,0.19998447896824378,0.7650106220848012,0.7651994622396676,0.6297158808827534,0.5954979089599164,0.999907087318879,Endometrial
DIP2C,-0.14282972653048137,1.310388312693358,0.613871781621397,-6.38172986594491,0.6414979402255154,0.7097122154533326,0.04518542260809405,0.06978393015899537,0.9013731240355529,0.9203577903595256,0.6466155768275765,Endometrial
DIS3,0.3122418177329084,-3.5514324771516783,0.13050523971045805,-1.5556130208073624,0.2904026199280706,0.3005554079329476,0.6448549517162366,0.6363605308473561,0.709820943378305,0.6910757679945753,0.999907087318879,Endometrial
DIS3L,-0.05134093603106987,0.5057068573714364,0.23669649071916216,-2.5458918865998728,0.8618180367928997,0.8766384729593621,0.4017925055635092,0.4151296833594109,0.9685441107501735,0.9705600247748084,0.999907087318879,Endometrial
DIS3L2,0.3583593198635488,-3.7264361728394335,-0.11884311849830055,1.2041026067216758,0.45232091644433414,0.45106946294354955,0.8013043873589141,0.8056837876503984,0.8173460746914005,0.8006161692701748,0.999907087318879,Endometrial
DISC1,-0.056175066857674,0.3748411381387173,0.4301529902643039,-4.04184561891562,0.9739225288488156,0.9819005523287883,0.8022254148522127,0.806604588604879,0.9957554188616623,0.9945655953660143,0.999907087318879,Endometrial
DIXDC1,0.6553844368817888,-7.77730028793768,-0.21583909767806775,3.1007596290253647,0.029423450223705527,0.03410442209863623,0.45083864189783507,0.38080356455016195,0.24634289432352982,0.2487602854315815,0.999907087318879,Endometrial
