gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
MPV17,en,1.3443862468084091,-12.540319084942947,-0.4304600686802634,3.887520788942202,0.5875636677156256,0.5708987095949719,0.9992021033216063,0.9993849095097266
MPZL1,en,-0.04575791178691662,0.44588175263582014,0.6267816091954529,-7.695972413793715,0.9923213839533724,0.9903380516010067,0.9992021033216063,0.9900308227363649
MPZL2,en,0.2362713197967097,-2.450676602096624,0.3748395288014977,-4.586713182183672,0.6537436557050067,0.6432777510564326,0.5900717941476565,0.3924352675156323
MRAS,en,0.4101268373450358,-4.6211901406076725,-0.000558233501114478,0.41703769405276725,0.6849466325593918,0.6463529736225095,0.9993552080124365,0.9993849095097266
MRC1,en,-0.13286845757008764,1.5812847802857326,0.5299829986080751,-5.581175474249375,0.8463652544678592,0.8245402546761231,0.33213294651362046,0.3924352675156323
MRC2,en,0.16746306006073128,-1.9329301505923357,0.4647674636955533,-5.333468703054709,0.8408565856382052,0.8345138583725354,0.6588623212714776,0.6901863119178867
MRE11,en,0.6452109287340974,-7.281496706494549,-0.26288304392237594,3.021526991828468,0.5649315952651668,0.5281161493590797,0.9992021033216063,0.9993849095097266
MRFAP1,en,0.04909150203687039,-0.7457633463429635,0.013500399325862993,-0.046576600411820296,0.9894701727466705,0.9842137428992831,0.9993552080124365,0.9993849095097266
MRGBP,en,0.08243521580611265,-0.6815070665781372,0.22441419310815275,-2.1106829536481815,0.951405949930914,0.9564005002958409,0.9992021033216063,0.9967766776929352
MRGPRF,en,-0.23802156942868286,2.23364646174421,0.7233593991041821,-6.5482476524846875,0.876161306969172,0.8992792094622609,0.7840646334886436,0.8975188985668294
MRI1,en,0.6761381378541091,-7.210975843589964,0.08291841482571696,-0.8733158298701724,0.38580580383174673,0.3506670460588633,0.9992021033216063,0.9993849095097266
MRM1,en,0.782674173233566,-5.686590721037212,-0.13953076440757847,0.867609938116533,0.3627166434405371,0.31597875046736146,0.9992021033216063,0.9993849095097266
MRM2,en,1.369552857893078,-12.345908237416014,-1.0538207666842216,9.434916116456996,0.3266153993827869,0.29723860079934694,0.7832729346028208,0.7654707006401213
MRM3,en,1.109604632162325,-9.432774324464843,-0.5030670486784536,4.191448332912406,0.37816902853189294,0.3857055101772481,0.9844079082478785,0.9859374695601055
MRNIP,en,0.40185784798182,-3.560197401758996,0.18428257199855927,-1.1683501892679211,0.5349483860895344,0.4775827210015937,0.9992021033216063,0.9993849095097266
MROH1,en,0.38522351848518294,-3.6801842692745064,-0.030415368751214922,-0.09015940406876602,0.6498823608806933,0.6333514960418725,0.9992021033216063,0.9993849095097266
MRPL1,en,0.014420907721877657,0.627789070505526,0.5253028859242642,-5.501233494418278,0.9951392073043539,0.977382671219387,0.9817115063626101,0.9472967332417205
MRPL10,en,0.44247028529307925,-3.735595185414705,-0.12551954551604588,0.8139641606927203,0.8630780629616362,0.8858021644793447,0.9992021033216063,0.9993849095097266
MRPL11,en,1.0039396600571857,-9.436844167577739,-0.8770968597232323,8.310890244427618,0.39984456119119594,0.40998694900142446,0.7693736780123213,0.7811795289184634
MRPL12,en,0.02307583987529818,-0.2570618626849327,0.5084954169461251,-4.623550413592702,0.989889170767519,0.9835393305434931,0.881904371499112,0.8139309021756479
MRPL13,en,0.9162016260113388,-8.173450682388474,-0.7263006885998561,6.419453978576973,0.5071974227357102,0.49578853344267126,0.9097041460334185,0.9147446019105517
MRPL14,en,-0.10704427551733108,1.15248166844411,0.42888966203744083,-4.322642157857615,0.952775790351759,0.9438587375646137,0.9817115063626101,0.9506062417336195
MRPL15,en,0.09499253787195629,-0.3128084232676018,0.10088862394986821,-1.5564120525688014,0.9450238810499108,0.9830621975863554,0.9992021033216063,0.9993849095097266
MRPL16,en,0.11825756143693629,-0.8971136458107872,0.22372586716634524,-2.4559281839177016,0.9538980944109757,0.9644538786503586,0.9992021033216063,0.9993849095097266
MRPL17,en,0.8206102231515494,-7.684435636421264,-0.5646758681447801,5.23787787240294,0.577466769749157,0.5841694083358976,0.9750619548097176,0.9672848588908258
MRPL18,en,0.30803489031154846,-2.8335544612353325,-0.014402771904683719,-0.056371238468455036,0.8345195188273118,0.8322806951203251,0.9993552080124365,0.9993849095097266
MRPL19,en,0.3278452523635609,-3.385848769895432,0.08822531655555836,-1.3098330806899454,0.7119874452194557,0.732740744666841,0.9992021033216063,0.9993849095097266
MRPL2,en,0.22135438852806946,-1.2941741164533256,0.17068872243025004,-1.8790459752686197,0.9139512795247648,0.941279707973799,0.9992021033216063,0.9993849095097266
MRPL20,en,1.2400713841692101,-12.587971563799405,-1.1012835671921135,11.21936206115669,0.211348266882464,0.22167393681818806,0.5204500341104406,0.5169488916381203
MRPL21,en,0.4044999314708159,-3.5424551738211347,-0.2110943424743446,1.767703018799201,0.6174963536830888,0.6337701009379247,0.9992021033216063,0.9993849095097266
MRPL22,en,0.6387786760165357,-5.263531400513351,-0.37647980219966565,3.0101953155425805,0.6561120437718962,0.6684780978389185,0.9992021033216063,0.9989506883440724
MRPL23,en,1.2358624874988857,-11.240258462684569,-0.9768742953777176,8.80158624577266,0.19069842232086545,0.19818261275026233,0.6189211613283954,0.6254587472354864
MRPL24,en,0.6815229217655809,-6.132181582673843,-0.5800913965959241,5.3213122033106055,0.4363534725090994,0.4800345427423383,0.8112779107752636,0.8510944076191937
MRPL27,en,1.1712985783921135,-10.900103679562575,-1.1046092587731096,10.352690500569121,0.38334075165304926,0.39180399931283644,0.6878164142826677,0.6941064592730832
MRPL28,en,0.4359996674725286,-4.028366379312817,-0.19073059145365687,1.6414105791908353,0.8372129499430577,0.8322002193012595,0.9992021033216063,0.9993849095097266
MRPL3,en,0.4529493351804816,-4.502811322195892,-0.3492358192728539,3.434009094900895,0.8063725464795205,0.8200600465729789,0.9992021033216063,0.9993849095097266
MRPL30,en,0.2567336776272169,-2.347425702729555,0.11562973239150387,-1.706263065371561,0.8438735654420318,0.8637200090151476,0.9992021033216063,0.9993849095097266
MRPL32,en,-0.6414046514616406,6.616146040765115,0.798224705882385,-8.07942304705915,0.6746389588024208,0.6352805811245349,0.8440235056819543,0.8139309021756479
MRPL33,en,-0.27706596316930093,2.8705462585183397,0.24796648707427413,-2.5169366968653186,0.8251142465658324,0.7986950444207032,0.9992021033216063,0.9967766776929352
MRPL34,en,0.11021305118303534,-0.8323481454651332,0.37793455515218183,-3.5097821350360157,0.9163979889408513,0.9225843764439459,0.8546317121044452,0.7944029332075612
MRPL35,en,0.5553712246963136,-4.887575607586142,-0.07088908258885614,-0.053497668336737594,0.8214849712043991,0.8399265676118086,0.9992021033216063,0.9993849095097266
MRPL36,en,0.6446577603283302,-5.71421792609758,-0.3863643533124195,3.2271481072565495,0.952775790351759,0.952833943740131,0.9992021033216063,0.9993849095097266
MRPL37,en,0.5929388750254047,-5.8633238639953795,-0.2637333333334007,2.426728000000685,0.7743148491853428,0.7651025655672363,0.9992021033216063,0.9993849095097266
MRPL38,en,0.4671540927041717,-4.237971835864638,-0.28764244641922465,2.5609320961838886,0.8162107520105526,0.8205072404675938,0.9992021033216063,0.9993849095097266
MRPL39,en,0.29147848418488487,-2.139522501147026,-0.0009616412723537347,-0.4575407912326028,0.858960719828147,0.8909010844961377,0.9993552080124365,0.9993849095097266
MRPL4,en,0.5635141903500759,-5.096822647243655,-0.391669200650948,3.4741634168114586,0.6312625311511499,0.6170302882698623,0.9844079082478785,0.9787085766924096
MRPL40,en,1.714263477931067,-16.44394355650382,-1.3597388163378081,13.041362441947536,0.2842235655546561,0.2822891004688353,0.7191010169259211,0.7202712085631313
MRPL41,en,0.15978151894126172,-1.1160927521578214,0.022916096309875823,-0.5076059393959023,0.9323850255031014,0.9468687890933167,0.9993552080124365,0.9993849095097266
MRPL42,en,0.44057371926277245,-4.473249346621526,-0.17396100721183289,1.6548473414008162,0.8117798337188973,0.8092343532068169,0.9992021033216063,0.9993849095097266
MRPL43,en,0.29794362511713873,-2.4699956685564057,-0.28373812215845046,2.5076955303242174,0.8987007936653711,0.9164973473125926,0.9992021033216063,0.9993849095097266
MRPL44,en,0.0727865890660153,-0.2049714897108495,0.2721811930702263,-3.048143293445587,0.9783649204945515,0.9926747703318609,0.9992021033216063,0.9993849095097266
MRPL45,en,-0.5058853192723783,5.232858195957484,0.7069836635539171,-7.07858991374907,0.7729122349041447,0.7331174113258351,0.9222804154006767,0.8898397964597186
MRPL46,en,0.03652215031535576,0.19530108669946303,0.13480367846060495,-1.5090394910235136,0.98673901875554,0.9901491619801867,0.9992021033216063,0.9993849095097266
MRPL47,en,0.11994433070479531,-0.7185148225595216,-0.04643938850215187,0.10741380176591867,0.9406301930617545,0.9628237229622884,0.9992021033216063,0.9993849095097266
MRPL48,en,0.8366143618589056,-7.142353904839233,-0.4489542633877355,3.6496389335785646,0.3643396582082752,0.3943631393260414,0.964716021308373,0.9625805164007861
